Date,Mkt-RF,SMB,HML,RMW,CMA,RF
31/01/2001,3.13,5.48,-5.07,-4.69,-5.03,0.54
28/02/2001,-10.05,2.83,12.47,9.1,9.07,0.38
31/03/2001,-7.26,2.33,6.42,3.35,3.92,0.42
30/04/2001,7.94,-0.86,-4.67,-3.06,-3.2,0.39
31/05/2001,0.72,3.6,3.36,0.25,1.91,0.32
30/06/2001,-1.94,6.57,-1.12,1.6,-1.51,0.28
31/07/2001,-2.13,-2.82,5.21,7.42,3.07,0.3
31/08/2001,-6.46,2.71,2.31,4.05,6.57,0.31
30/09/2001,-9.25,-5.73,1.45,4.99,3.21,0.28
31/10/2001,2.46,5.27,-7.65,-2.98,-4.55,0.22
30/11/2001,7.54,-0.31,2.21,-3.73,-1.61,0.17
31/12/2001,1.6,5.16,0.84,0.34,-0.26,0.15
31/01/2002,-1.44,1.26,3.44,4.69,2.84,0.14
28/02/2002,-2.29,-0.36,2.16,8.07,5.11,0.13
31/03/2002,4.24,4.25,1.06,-1.78,0.58,0.13
30/04/2002,-5.2,6.72,3.88,4.56,5.38,0.15
31/05/2002,-1.38,-3.02,1.53,2.36,2.44,0.14
30/06/2002,-7.21,3.89,-0.05,3.93,2.51,0.13
31/07/2002,-8.18,-6.43,-3.85,3.79,-0.99,0.15
31/08/2002,0.5,-1.31,3.28,1.36,-1.47,0.14
30/09/2002,-10.35,3.08,1.47,3.29,-2.19,0.14
31/10/2002,7.84,-4.31,-3.95,-3.39,0.76,0.14
30/11/2002,5.96,2.91,-1.23,-9.2,5.15,0.12
31/12/2002,-5.76,0.62,2.14,6.29,-1.68,0.11
31/01/2003,-2.57,0.7,-0.83,-0.99,0.69,0.1
28/02/2003,-1.88,-0.93,-1.39,0.83,-0.62,0.09
31/03/2003,1.09,0.65,-1.93,1.87,-0.77,0.1
30/04/2003,8.22,1.02,1.14,-4.68,1.06,0.1
31/05/2003,6.05,4.81,0.4,-7,2.91,0.09
30/06/2003,1.42,1.66,0.11,0.51,-0.38,0.1
31/07/2003,2.35,4.54,-1.24,-4.14,1.78,0.07
31/08/2003,2.34,2.48,1.53,-2.25,2.14,0.07
30/09/2003,-1.24,0.54,0.16,1.01,0.34,0.08
31/10/2003,6.08,2.71,1.97,-1.35,1.55,0.07
30/11/2003,1.35,2.33,1.78,0.19,1.81,0.07
31/12/2003,4.29,-2.49,1.6,0.56,0.94,0.08
31/01/2004,2.15,2.45,2.49,-3.66,3.38,0.07
29/02/2004,1.4,-0.93,0.9,2.17,-1.21,0.06
31/03/2004,-1.32,2.1,0.27,1.56,-0.98,0.09
30/04/2004,-1.83,-2.01,-3.1,3.45,-2.84,0.08
31/05/2004,1.17,-0.38,-0.25,-1.18,0.03,0.06
30/06/2004,1.86,2.56,1.18,1.2,-0.39,0.08
31/07/2004,-4.06,-2.95,3.24,5.32,-1.66,0.1
31/08/2004,0.08,-1.13,0.97,1.23,-1.47,0.11
30/09/2004,1.6,3.27,0,-1.49,-1.88,0.11
31/10/2004,1.43,0.19,-0.22,-0.52,0.49,0.11
30/11/2004,4.54,4.11,1.41,-0.58,-0.22,0.15
31/12/2004,3.43,-0.05,-0.22,-1.16,0.46,0.16
31/01/2005,-2.76,-1.17,2.06,2.74,-1.46,0.16
28/02/2005,1.89,-0.31,1.54,1.43,-0.05,0.16
31/03/2005,-1.97,-1.42,2.04,0.47,1.29,0.21
30/04/2005,-2.61,-3.98,0.07,0.97,-0.94,0.21
31/05/2005,3.65,2.79,-0.64,-1,0.3,0.24
30/06/2005,0.57,3.28,2.83,0.96,-0.51,0.23
31/07/2005,3.92,2.81,-0.79,-1.19,-0.82,0.24
31/08/2005,-1.22,-0.89,1.32,-2.05,0.37,0.3
30/09/2005,0.49,-0.34,0.71,0.27,-0.6,0.29
31/10/2005,-2.02,-1.45,0.42,-0.93,-1.3,0.27
30/11/2005,3.61,0.84,-1.16,-0.76,-1.14,0.31
31/12/2005,-0.25,-0.2,0.2,0.21,0.23,0.32
31/01/2006,3.04,5.75,1.08,-0.64,-0.46,0.35
28/02/2006,-0.3,-0.42,-0.34,-0.51,1.91,0.34
31/03/2006,1.46,3.38,0.6,0.06,-0.41,0.37
30/04/2006,0.73,-0.84,2.34,1.8,0.01,0.36
31/05/2006,-3.57,-2.85,2.41,1.15,1.46,0.43
30/06/2006,-0.35,-0.24,0.85,1.32,-0.07,0.4
31/07/2006,-0.78,-3.63,2.6,1.63,0.9,0.4
31/08/2006,2.03,0.44,-2.06,-1.86,2.09,0.42
30/09/2006,1.84,-1.46,0.08,0.82,0.6,0.41
31/10/2006,3.23,1.98,-0.31,-0.12,0.28,0.41
30/11/2006,1.71,0.71,0.14,0.15,-0.8,0.42
31/12/2006,0.87,-0.81,2.73,-0.72,2.06,0.4
31/01/2007,1.4,0.07,-0.68,0.25,0.38,0.44
28/02/2007,-1.96,1.29,-0.14,-0.51,-0.71,0.38
